"talk.edits","words.added","editors","talk.density","talk.diameter","talk.clustering.coef","talk.kcore.gt.2","days.from.start.to.end","days.from.half.to.end","founding.date"
120,119997,108,0.0745967741935484,3,0.230232558139535,0.40625,210,107,"2007-04-30 05:24:49"
33,161714,178,0.266666666666667,3,0.555555555555556,0.7,833,292,"2006-06-13 21:06:16"
1,29928,8,0.5,1,NA,0,5,1,"2009-12-14 22:04:18"
86,176813,80,0.0302480338777979,2,0.0998116760828625,0.172413793103448,267,56,"2008-05-23 13:43:06"
85,112231,20,0.303030303030303,3,0.558139534883721,0.75,485,14,"2007-08-09 22:31:49"
13,39623,117,0.0972222222222222,1,0.5,0,153,100,"2008-05-14 21:39:06"
119,3744338,71,0.270833333333333,3,0.630508474576271,0.6875,573,0,"2004-08-28 05:31:42"
19,49660,32,0.291666666666667,3,0.82258064516129,0.777777777777778,661,4,"2004-11-11 23:33:14"
140,58625,18,0.179738562091503,3,0.447368421052632,0.666666666666667,13,12,"2007-11-14 02:30:08"
43,167900,65,0.111111111111111,4,0.307086614173228,0.333333333333333,519,172,"2007-08-09 22:31:49"
80,32200,52,0.0357487922705314,2,0.0885714285714286,0.239130434782609,78,11,"2007-07-10 02:57:46"
169,255006,178,0.116402116402116,3,0.298342541436464,0.607142857142857,47,4,"2008-04-07 13:56:01"
191,162563,119,0.0452488687782805,3,0.15946137491141,0.346153846153846,401,57,"2004-11-11 23:33:14"
24,118186,101,0.222222222222222,2,0.66,0.6,285,6,"2004-11-11 23:33:14"
28,161026,115,0.355555555555556,3,0.685714285714286,0.8,1276,281,"2005-05-16 04:59:17"
80,157148,52,0.0495495495495495,4,0.134328358208955,0.297297297297297,487,98,"2006-09-10 23:36:01"
51,77151,91,0.16025641025641,4,0.521739130434783,0.769230769230769,604,11,"2007-08-27 23:01:51"
32,160760,44,0.25,3,0.66,0.777777777777778,90,12,"2006-10-05 09:17:43"
9,184369,114,0.238095238095238,3,0.818181818181818,0.428571428571429,406,151,"2008-05-25 13:05:08"
77,58943,119,0.100529100529101,4,0.494845360824742,0.571428571428571,570,17,"2008-03-13 19:50:54"
325,67980,211,0.00997415012437204,7,0.102706523934559,0.246305418719212,16,4,"2008-01-21 10:51:26"
